Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,061055,1905,06,18.4,Y
IDCJAC0002,061055,1905,07,16.8,Y
IDCJAC0002,061055,1905,08,18.6,Y
IDCJAC0002,061055,1905,09,20.2,Y
IDCJAC0002,061055,1905,10,21.3,Y
IDCJAC0002,061055,1905,11,26.5,Y
IDCJAC0002,061055,1905,12,25.1,Y
IDCJAC0002,061055,1906,01,26.9,Y
IDCJAC0002,061055,1906,02,26.6,Y
IDCJAC0002,061055,1906,03,24.8,Y
IDCJAC0002,061055,1906,04,25.9,Y
IDCJAC0002,061055,1906,05,21.8,Y
IDCJAC0002,061055,1906,06,18.9,Y
IDCJAC0002,061055,1906,07,18.4,Y
IDCJAC0002,061055,1906,08,17.7,Y
IDCJAC0002,061055,1906,09,19.9,Y
IDCJAC0002,061055,1906,10,23.6,Y
IDCJAC0002,061055,1906,11,23.9,Y
IDCJAC0002,061055,1906,12,26.1,Y
IDCJAC0002,061055,1907,01,25.8,Y
IDCJAC0002,061055,1907,02,26.3,Y
IDCJAC0002,061055,1907,03,24.7,Y
IDCJAC0002,061055,1907,04,24.2,Y
IDCJAC0002,061055,1907,05,20.7,Y
IDCJAC0002,061055,1907,06,17.1,Y
IDCJAC0002,061055,1907,07,17.4,Y
IDCJAC0002,061055,1907,08,19.8,Y
IDCJAC0002,061055,1907,09,23.9,Y
IDCJAC0002,061055,1907,10,24.7,Y
IDCJAC0002,061055,1907,11,23.2,Y
IDCJAC0002,061055,1907,12,26.3,Y
IDCJAC0002,061055,1908,01,26.9,Y
IDCJAC0002,061055,1908,02,25.8,Y
IDCJAC0002,061055,1908,03,26.6,Y
IDCJAC0002,061055,1908,04,23.2,Y
IDCJAC0002,061055,1908,05,21.7,Y
IDCJAC0002,061055,1908,06,16.1,Y
IDCJAC0002,061055,1908,07,16.1,Y
IDCJAC0002,061055,1908,08,16.4,Y
IDCJAC0002,061055,1908,09,18.8,Y
IDCJAC0002,061055,1908,10,21.1,Y
IDCJAC0002,061055,1908,11,21.8,Y
IDCJAC0002,061055,1908,12,25.4,Y
IDCJAC0002,061055,1909,01,25.4,Y
IDCJAC0002,061055,1909,02,23.3,Y
IDCJAC0002,061055,1909,03,24.3,Y
IDCJAC0002,061055,1909,04,22.0,Y
